Name,Classification,DIAMETER,Direction,HUB_THICKNESS,MODEL,PITCH,Performance_File,SHAFT_DIAMETER,Weight
apc_propellers_4_5x4,Propeller,114.3,1,7.62,apc_propellers_4_5x4,101.6,PER3_45x4.dat,6.35,0.0039900000000000005
apc_propellers_11x5_5E,Propeller,279.4,1,10.41,apc_propellers_11x5_5E,139.7,PER3_11x55E.dat,6.35,0.023
apc_propellers_15x10E,Propeller,381.0,1,12.19,apc_propellers_15x10E,254.0,PER3_15x10E.dat,6.35,0.045
apc_propellers_18_1x12,Propeller,459.74,1,19.56,apc_propellers_18_1x12,304.8,PER3_181x12.dat,7.94,0.12501
apc_propellers_13x6_5E,Propeller,330.2,1,10.41,apc_propellers_13x6_5E,165.1,PER3_13x65E.dat,6.35,0.02998
apc_propellers_8x4_5MRP,Propeller,203.2,-1,8.38,apc_propellers_8x4_5MRP,114.3,PER3_8x45MR.dat,6.35,0.00907
apc_propellers_9_5x4_5,Propeller,241.3,1,12.95,apc_propellers_9_5x4_5,114.3,PER3_95x45.dat,6.35,0.028079999999999997
apc_propellers_6x6E,Propeller,152.4,1,6.6,apc_propellers_6x6E,152.4,PER3_6x6E.dat,6.35,0.00513
apc_propellers_19x11,Propeller,482.6,1,20.32,apc_propellers_19x11,279.4,PER3_19x11.dat,7.94,0.13213
apc_propellers_8x8,Propeller,203.2,1,11.43,apc_propellers_8x8,203.2,PER3_8x8.dat,6.35,0.019010000000000003
apc_propellers_12x6SF,Propeller,304.8,1,7.62,apc_propellers_12x6SF,152.4,PER3_12x6SF.dat,6.35,0.019010000000000003
apc_propellers_7_8x4,Propeller,198.12,1,10.16,apc_propellers_7_8x4,101.6,PER3_78x4.dat,6.35,0.01787
apc_propellers_12x7,Propeller,304.8,1,11.94,apc_propellers_12x7,177.8,PER3_12x7.dat,6.35,0.04309
apc_propellers_15x5_5MRP,Propeller,381.0,-1,9.14,apc_propellers_15x5_5MRP,139.7,PER3_15x55MR.dat,6.35,0.03602
apc_propellers_4_75x5_5E,Propeller,120.65,1,7.62,apc_propellers_4_75x5_5E,139.7,PER3_475x55E.dat,6.35,0.0039900000000000005
apc_propellers_6_3x4,Propeller,160.02,1,10.16,apc_propellers_6_3x4,101.6,PER3_63x4.dat,4.76,0.01107
apc_propellers_9x4_5E,Propeller,228.6,1,9.65,apc_propellers_9x4_5E,114.3,PER3_9x45E.dat,6.35,0.01796
apc_propellers_13x8E,Propeller,330.2,1,10.67,apc_propellers_13x8E,203.2,PER3_13x8E.dat,6.35,0.03098
apc_propellers_20x15E,Propeller,508.0,1,14.22,apc_propellers_20x15E,381.0,PER3_20x15E.dat,6.35,0.11793000000000001
apc_propellers_19x8W,Propeller,482.6,1,14.22,apc_propellers_19x8W,203.2,PER3_19x8W.dat,7.94,0.16302000000000003
apc_propellers_16x12,Propeller,406.4,1,20.07,apc_propellers_16x12,304.8,PER3_16x12.dat,7.94,0.10292
apc_propellers_16x12E,Propeller,406.4,1,12.19,apc_propellers_16x12E,304.8,PER3_16x12E.dat,6.35,0.05198
apc_propellers_17x13,Propeller,431.8,1,19.3,apc_propellers_17x13,330.2,PER3_17x13.dat,7.94,0.11793000000000001
apc_propellers_13x6_5EP,Propeller,330.2,-1,10.41,apc_propellers_13x6_5EP,165.1,PER3_13x65E.dat,6.35,0.02998
apc_propellers_12x5_5MRP,Propeller,304.8,-1,9.14,apc_propellers_12x5_5MRP,139.7,PER3_12x55MR.dat,6.35,0.02214
apc_propellers_8_75x7_0N,Propeller,222.25,1,14.73,apc_propellers_8_75x7_0N,177.8,PER3_875x70N.dat,6.35,0.028079999999999997
apc_propellers_16x4EP,Propeller,406.4,-1,12.45,apc_propellers_16x4EP,101.6,PER3_16x4E.dat,6.35,0.055020000000000006
apc_propellers_5_5x4_7E,Propeller,139.7,1,6.86,apc_propellers_5_5x4_7E,119.38,PER3_55x47E.dat,6.35,0.0039900000000000005
apc_propellers_5x3,Propeller,127.0,1,8.13,apc_propellers_5x3,76.2,PER3_5x3.dat,4.76,0.005940000000000001
apc_propellers_11x7,Propeller,279.4,1,13.46,apc_propellers_11x7,177.8,PER3_11x7.dat,6.35,0.03996
apc_propellers_13x4_5EP,Propeller,330.2,-1,10.16,apc_propellers_13x4_5EP,114.3,PER3_13x45EP.dat,6.35,0.03089
apc_propellers_14x8,Propeller,355.6,1,16.26,apc_propellers_14x8,203.2,PER3_14x8.dat,7.94,0.07003000000000001
