Name,ADAPTER_DIAMETER,ADAPTER_LENGTH,CAN_DIAMETER,CAN_LENGTH,COST,COST_ADAPTER,Classification,ESC/BEC Class,INTERNAL_RESISTANCE,IO_IDLE_CURRENT@10V,KM,KT,KV,LENGTH,MAX_CURRENT,MAX_POWER,MODEL,Max # of Cells,Min # of Cells,PROP_PITCH_REC.,PROP_SIZE_REC.,Poles,SHAFT_DIAMETER,TOTAL_LENGTH,WEIGHT,para_CONTROL_CHANNEL_[]AssignedValue
t_motor_MN4014KV330,"6,8","31.5,31.5",44.7,14.0,96.9,,Motor,2.0,85.0,1.1,0.09925399112253296,0.028937262380344612,330.0,35.0,25.0,750.0,MN4014KV330,8.0,4.0,"4,7","14,18",18N24P,4.0,42.9,0.171,1
t_motor_MN3110KV700,6,26,37.7,10.0,61.9,,Motor,2.0,92.0,0.3,0.044975855022520064,0.013641852265019601,700.0,30.0,21.0,466.0,MN3110KV700,6.0,3.0,"3,5","10,13",12N14P,4.0,37.1,0.099,1
t_motor_MN3510KV360,6,26,41.8,10.0,79.9,,Motor,2.0,188.0,0.4,0.06117725079763944,0.026525823848649224,360.0,29.0,15.0,330.0,MN3510KV360,6.0,3.0,"4,6","12,16",12N14P,4.0,37.1,0.117,1
t_motor_AT3530KV580,"6,8","30,36",43.0,30.0,99.99,,Motor,3.0,18.0,1.9,0.12271767989951328,0.016464304457782276,580.0,55.0,65.0,1400.0,AT3530KV580,6.0,4.0,"7,9","13,16",12N14P,5.0,75.0,0.298,1
kde_direct_KDE2315XF965,6,12,28.3,15.0,60.95,,Motor,1.0,102.0,0.5,0.031,0.0099,965.0,28.5,26.0,384.0,KDE2315XF965,4.0,3.0,"3,5","9,12",12S14P,4.0,35.25,0.075,1
t_motor_AT2310KV2200,,,28.8,10.0,27.99,,Motor,3.0,35.0,2.1,0.02320142604394973,0.004340589357051691,2200.0,24.8,45.0,650.0,AT2310KV2200,4.0,3.0,"4,5","5,6",12N14P,6.0,49.8,0.052000000000000005,1
t_motor_MT22081100KV,,,27.5,8.0,43.9,,Motor,3.0,165.0,0.1,0.021371584627540637,0.008681178714103382,1100.0,24.5,12.0,180.0,MT22081100KV,4.0,3.0,"2,4","8,11",12N14P,5.0,48.0,0.045,1
t_motor_AT2820KV1250,"6,8","30,36",35.2,20.0,59.99,,Motor,3.0,16.0,2.7,0.06039505452538445,0.007639437268410976,1250.0,43.0,70.0,1000.0,AT2820KV1250,4.0,3.0,"4,8","9,13",12N14P,5.0,63.5,0.14100000000000001,1
t_motor_AT2321KV950,6,23,28.8,21.0,44.99,,Motor,3.0,65.0,1.2,0.03942676083450965,0.010051891142646022,950.0,40.0,30.0,450.0,AT2321KV950,4.0,2.0,"4,7","9,12",12N14P,4.0,56.0,0.093,1
t_motor_MN4012KV400,"6,8","31.5,31.5",44.7,12.0,92.9,,Motor,2.0,75.0,1.0,0.08717275246988208,0.0238732414637843,400.0,33.0,25.0,750.0,MN4012KV400,8.0,4.0,"4,6","12,16",18N24P,4.0,40.9,0.155,1
t_motor_AT4120KV560,"8,10","35,40",50.0,20.0,109.99,,Motor,3.0,16.0,2.4,0.1348103895655903,0.017052315331274503,560.0,45.0,80.0,1800.0,AT4120KV560,6.0,4.0,"7,9","14,16",12N14P,6.0,69.0,0.3,1
t_motor_AT4120KV500,"8,10","35,40",50.0,20.0,109.99,,Motor,3.0,21.0,2.0,0.1317928137921712,0.019098593171027443,500.0,45.0,75.0,1700.0,AT4120KV500,6.0,4.0,"7,10","14,16",12N14P,6.0,69.0,0.305,1
t_motor_MN2212KV780,5,24,27.5,12.0,46.9,,Motor,2.0,173.0,0.4,0.029434301070491033,0.012242687930145796,780.0,16.0,13.0,200.0,MN2212KV780,4.0,2.0,"3,4","8,11",9N12P,4.0,32.6,0.065,1
kde_direct_KDE2315XF885,6,12,28.3,15.0,60.95,,Motor,1.0,127.0,0.5,0.0303,0.0108,885.0,28.5,24.0,532.0,KDE2315XF885,6.0,3.0,"3,5","9,12",12S14P,4.0,35.25,0.075,1
t_motor_AT4125KV250,"8,10","35,40",50.0,25.0,115.99,,Motor,3.0,68.0,1.0,0.14647952298417527,0.038197186342054885,250.0,50.0,50.0,2200.0,AT4125KV250,12.0,6.0,"8,10","15,18",12N14P,6.0,74.0,0.35000000000000003,1
kde_direct_KDE4012XF_400,"6,8","20,20",46.5,12.0,114.95,19.95,Motor,1.0,80.0,0.5,0.0844,0.0239,400.0,30.0,32.0,947.0,KDE4012XF_400,8.0,4.0,"4,8","16,20",18S24P,5.0,39.75,0.2,1
t_motor_AT2826KV900,"6,8","30,36",35.2,26.0,69.99,,Motor,3.0,24.0,2.2,0.0684893826735,0.01061032953945969,900.0,49.0,57.0,820.0,AT2826KV900,4.0,3.0,"6,9","12,16",12N14P,5.0,69.5,0.17500000000000002,1
